n,m,phi_n,e_m,ratio,deviation,deviation_pct
7,3.3684827754172244,29.034441853748643,29.034441853748643,1.0,0.0,0.0
8,3.8496946004768278,46.9787137637478,46.9787137637478,1.0,0.0,0.0
9,4.330906425536432,76.01315561749647,76.01315561749647,1.0,0.0,0.0
11,5.293330075655638,199.0050249987407,199.0050249987407,1.0,0.0,0.0
13,6.255753725774845,521.0019193787256,521.0019193787256,1.0,0.0,0.0
12,5.774541900715242,321.99689437998506,321.99689437998506,1.0,0.0,0.0
14,6.736965550834449,842.9988137587109,842.9988137587109,1.0,0.0,0.0
15,7.218177375894052,1364.0007331374359,1364.0007331374359,1.0,0.0,0.0
19,9.143024676132466,9349.000106963316,9349.000106963316,1.0,0.0,0.0
16,7.6993892009536555,2206.999546896147,2206.999546896147,1.0,0.0,0.0
17,8.180601026013258,3571.0002800335815,3571.0002800335815,1.0,0.0,0.0
18,8.661812851072863,5777.999826929735,5777.999826929735,1.0,0.0,0.0
21,10.105448326251674,24476.00004085638,24476.00004085638,1.0,0.0,0.0
20,9.624236501192069,15126.99993389304,15126.99993389304,1.0,0.0,0.0
22,10.586660151311277,39602.999974749415,39602.999974749415,1.0,0.0,0.0
23,11.06787197637088,64079.00001560575,64079.00001560575,1.0,0.0,0.0
37,17.80483752720533,54018521.000000104,54018521.000000104,1.0,0.0,0.0
25,12.030295626490087,167761.00000596102,167761.00000596102,1.0,0.0,0.0
26,12.51150745154969,271442.9999963161,271442.9999963161,1.0,0.0,0.0
27,12.992719276609293,439204.0000022768,439204.0000022768,1.0,0.0,0.0
29,13.9551429267285,1149851.0000008703,1149851.0000008703,1.0,0.0,0.0
28,13.473931101668898,710646.9999985936,710646.9999985936,1.0,0.0,0.0
30,14.436354751788103,1860497.9999994626,1860497.9999994626,1.0,0.0,0.0
31,14.917566576847708,3010349.000000336,3010349.000000336,1.0,0.0,0.0
38,18.286049352264932,87403803.00000009,87403803.00000009,1.0,0.0,0.0
32,15.398778401907311,4870846.999999798,4870846.999999798,1.0,0.0,0.0
33,15.879990226966914,7881196.0000001285,7881196.0000001285,1.0,0.0,0.0
35,16.84241387708612,20633239.00000003,20633239.00000003,1.0,0.0,0.0
36,17.323625702145726,33385282.00000004,33385282.00000004,1.0,0.0,0.0
41,19.72968482744374,370248450.9999998,370248450.9999998,1.0,0.0,0.0
40,19.248473002384138,228826127.0,228826127.0,1.0,0.0,0.0
39,18.767261177324535,141422324.0000001,141422324.0000001,1.0,0.0,0.0
63,30.31634497875502,14662949395604.03,14662949395604.03,1.0,0.0,0.0
64,30.797556803814622,23725150497407.035,23725150497407.035,1.0,0.0,0.0
65,31.278768628874225,38388099893011.04,38388099893011.04,1.0,0.0,0.0
42,20.210896652503347,599074578.0000015,599074578.0000015,1.0,0.0,0.0
43,20.69210847756295,969323029.0000019,969323029.0000019,1.0,0.0,0.0
44,21.173320302622553,1568397607.0000024,1568397607.0000024,1.0,0.0,0.0
45,21.654532127682156,2537720636.0000024,2537720636.0000024,1.0,0.0,0.0
46,22.13574395274176,4106118243.0000014,4106118243.0000014,1.0,0.0,0.0
50,24.060591252980174,28143753123.000053,28143753123.000053,1.0,0.0,0.0
49,23.57937942792057,17393796001.000042,17393796001.000042,1.0,0.0,0.0
52,25.02301490309938,73681302247.00006,73681302247.00006,1.0,0.0,0.0
51,24.541803078039777,45537549124.00005,45537549124.00005,1.0,0.0,0.0
