n,m,phi_n,e_m,ratio,deviation,deviation_pct
10,4.812118250596036,122.99186938124421,122.99186938124444,0.9999999999999982,1.7763568394002505e-15,1.7763568394002505e-13
9,4.330906425536433,76.01315561749647,76.01315561749661,0.9999999999999981,1.887379141862766e-15,1.887379141862766e-13
11,5.29333007565564,199.0050249987407,199.00502499874108,0.9999999999999981,1.887379141862766e-15,1.887379141862766e-13
12,5.774541900715244,321.99689437998506,321.9968943799857,0.999999999999998,1.9984014443252818e-15,1.9984014443252818e-13
13,6.255753725774838,521.0019193787256,521.0019193787219,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13
16,7.699389200953648,2206.999546896147,2206.9995468961315,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13
22,10.58666015131127,39602.999974749415,39602.99997474914,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13
37,17.804837527205322,54018521.000000104,54018520.999999724,1.0000000000000069,6.8833827526759706e-15,6.883382752675971e-13
21,10.105448326251667,24476.00004085638,24476.000040856205,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
20,9.624236501192062,15126.99993389304,15126.999933892932,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
18,8.661812851072856,5777.999826929735,5777.999826929694,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
17,8.180601026013251,3571.0002800335815,3571.000280033556,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
23,11.067871976370872,64079.00001560575,64079.00001560529,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
26,12.511507451549683,271442.9999963161,271442.9999963142,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
24,11.549083801430477,103681.99999035528,103681.99999035454,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
14,6.736965550834442,842.9988137587109,842.9988137587048,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
35,16.842413877086113,20633239.00000003,20633238.999999885,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
32,15.398778401907304,4870846.999999798,4870846.999999763,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
34,16.36120205202651,12752042.999999918,12752042.999999827,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
25,12.03029562649008,167761.00000596102,167761.00000595982,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
30,14.436354751788096,1860497.9999994626,1860497.9999994494,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
29,13.955142926728493,1149851.0000008703,1149851.0000008622,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
31,14.917566576847701,3010349.000000336,3010349.000000315,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
28,13.47393110166889,710646.9999985936,710646.9999985886,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
36,17.32362570214572,33385282.00000004,33385281.999999806,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
33,15.879990226966907,7881196.0000001285,7881196.000000073,1.000000000000007,7.105427357601002e-15,7.105427357601002e-13
15,7.218177375894045,1364.0007331374359,1364.000733137426,1.0000000000000073,7.327471962526033e-15,7.327471962526033e-13
19,9.143024676132459,9349.000106963316,9349.000106963249,1.0000000000000073,7.327471962526033e-15,7.327471962526033e-13
27,12.992719276609286,439204.0000022768,439204.00000227365,1.0000000000000073,7.327471962526033e-15,7.327471962526033e-13
38,18.28604935226496,87403803.00000009,87403803.00000256,0.9999999999999718,2.8199664825478976e-14,2.8199664825478976e-12
55,26.46665037827822,312119004989.00085,312119004989.0097,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
41,19.72968482744377,370248450.9999998,370248451.0000103,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
65,31.278768628874253,38388099893011.04,38388099893012.125,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
66,31.759980453933856,62113250390418.02,62113250390419.79,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
52,25.02301490309941,73681302247.00006,73681302247.00215,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
49,23.5793794279206,17393796001.000042,17393796001.000534,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
57,27.429074028397427,817138163596.0013,817138163596.0245,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
133,64.00117273292729,6.242465534729735e+27,6.242465534729912e+27,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
116,55.82057170691403,1.7480999846550115e+24,1.748099984655061e+24,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
121,58.226630832212045,1.9386725908489875e+25,1.9386725908490425e+25,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
91,43.79027608042394,1.0420180999117177e+19,1.0420180999117472e+19,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
94,45.23391155560275,4.414059505011197e+19,4.414059505011322e+19,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
99,47.639970680900774,4.895267005239707e+20,4.895267005239846e+20,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
97,46.67754703078157,1.8698256119956606e+20,1.8698256119957137e+20,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
86,41.38421695512593,9.395871345497386e+17,9.395871345497652e+17,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
76,36.57209870452989,7639424778862824.0,7639424778863041.0,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
79,38.0157341797087,3.236112267225917e+16,3.236112267226009e+16,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
78,37.5345223546491,2.0000273725561e+16,2.000027372556157e+16,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
128,61.59511360762927,5.628827661246133e+26,5.628827661246293e+26,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
115,55.33935988185443,1.0803852062499674e+24,1.080385206249998e+24,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
109,52.45208893149681,6.020780400947577e+22,6.020780400947748e+22,0.9999999999999717,2.8310687127941492e-14,2.831068712794149e-12
70,33.68482775417227,425730551631122.25,425730551631134.4,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
71,34.16603957923188,688846502588402.4,688846502588422.0,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
39,18.767261177324563,141422324.0000001,141422324.0000041,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
68,32.72240410405306,162614600673846.9,162614600673851.53,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
46,22.135743952741787,4106118243.0000014,4106118243.0001183,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
53,25.50422672815901,119218851371.00003,119218851371.00342,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
50,24.060591252980203,28143753123.000053,28143753123.00085,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
47,22.61695577780139,6643838878.999999,6643838879.000188,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
48,23.098167602860997,10749957122.00003,10749957122.000336,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
58,27.91028585345703,1322157322203.0015,1322157322203.039,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
40,19.248473002384166,228826127.0,228826127.0000065,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
45,21.654532127682184,2537720636.0000024,2537720636.0000744,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
44,21.17332030262258,1568397607.0000024,1568397607.000047,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
135,64.9635963830465,1.6342986943522214e+28,1.6342986943522678e+28,0.9999999999999716,2.842170943040401e-14,2.8421709430404007e-12
